id,LoanNr_ChkDgt,Name,City,State,Bank,BankState,ApprovalDate,ApprovalFY,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,Accept
64afe857c28,9448323000,MIDWEST CRANKSHAFT & ENGINE,HARVEY,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,9-Aug-96,1996,28,1.0,0,0,1,0,N,N,31-Mar-97,"$600,000.00 ",$0.00 ,0
1705a7346c2,2854405007,"Iredesign, Limited",CHICAGO,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,10-Dec-07,2008,1,2.0,1,1,0,1,N,N,31-Dec-07,"$25,400.00 ",$0.00 ,1
7439801ad8a,9300423010,PHILLY'S INC.,ROCHELLE,IL,BMO HARRIS BK NATL ASSOC,IL,23-May-96,1996,6,2.0,0,0,1,0,N,Y,30-Sep-96,"$20,000.00 ",$0.00 ,1
a3f8f9d0611,4349265000,USA Laser Imaging Inc.,Loves park,IL,ALPINE BANK & TRUST CO.,IL,4-Nov-10,2011,5,2.0,0,5,0,1,N,N,1-Mar-11,"$75,000.00 ",$0.00 ,1
71e4f243b5d,2433905006,"Dan Morrell, Inc.",LISLE,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,3-May-07,2007,3,1.0,1,3,0,1,N,N,31-May-07,"$50,000.00 ",$0.00 ,0
4389862a9c8,6161844009,"BIG APPLE BAGELS, INC",PEORIA HEIGHTS,IL,HERITAGE BK OF CENT. ILLINOIS,IL,11-Mar-03,2003,11,2.0,0,0,10481,1,0,Y,31-Oct-03,"$118,000.00 ",$0.00 ,0
6f426aef103,1511985010,SUSAN ROH CORPORATION,SKOKIE,IL,CITIZENS BANK NATL ASSOC,RI,24-Oct-05,2006,3,1.0,1,4,0,1,N,N,30-Nov-05,"$50,000.00 ",$0.00 ,1
cb9278bd4c4,5516993007,ALPHAGRAPHICS PRINTSHOPS,BLOOMINGDALE,IL,WELLS FARGO BANK NATL ASSOC,SD,9-Feb-93,1993,5,1.0,0,0,3512,0,N,N,31-Jul-93,"$150,000.00 ",$0.00 ,1
2e1cef0d06a,2960204003,GARY LEE & PARTNERS,CHICAGO,IL,"SOMERCOR 504, INC.",IL,24-May-99,1999,31,1.0,6,0,1,0,N,N,17-Jan-01,"$1,000,000.00 ",$0.00 ,1
ca5256aeab6,7271564003,SCOTT MANUFACTURING CO INC,GRAYSLAKE (CORPORATE AND RR NA,IL,JPMORGAN CHASE BANK NATL ASSOC,IL,16-Mar-04,2004,6,1.0,1,6,1,1,0,N,31-Mar-04,"$33,700.00 ",$0.00 ,1
